 Event ID : 29
-245.412 -62.3768 172 98 517.45
-250.32 -65.3461 172 98 199.8
-245.412 -56.8448 174 99 270.9
-235.595 -62.3768 174 99 435.25
-240.504 -53.8755 174 99 198.1
-240.504 -65.3461 174 99 214.5
-235.595 -56.8448 176 100 700.05
-230.687 -53.8755 176 100 598.45
-230.687 -65.3461 176 100 73.3
-225.779 -62.3768 176 100 151.6
-225.779 -56.8448 178 101 858.3
-220.871 -53.8755 180 102 944.95
-220.871 -48.3434 180 102 252.1
-215.962 -45.3742 180 102 140.95
-215.962 -56.8448 182 103 550.9
-211.054 -53.8755 182 103 761.75
-211.054 -48.3434 182 103 650.45
-206.146 -56.8448 184 104 229.45
-201.238 -53.8755 184 104 372.75
-201.238 -48.3434 186 105 857.2
-206.146 -45.3742 186 105 414.5
-196.329 -45.3742 188 106 795.55
-191.421 -48.3434 190 107 634.15
-191.421 -53.8755 190 107 81.85
-186.513 -45.3742 192 108 803.9
-196.329 -39.8421 192 108 110.5
-181.605 -48.3434 194 109 292.55
-186.513 -39.8421 194 109 428.8
-176.696 -45.3742 196 110 421.35
-171.788 -48.3434 196 110 74.4
-176.696 -39.8421 198 111 729.6
-181.605 -36.8729 198 111 254.9
-166.88 -45.3742 200 112 122.6
-171.788 -36.8729 200 112 555.1
-166.88 -39.8421 202 113 640.4
-161.972 -36.8729 204 114 771.05
-171.788 -31.3408 204 114 66.2
-157.064 -39.8421 206 115 355.1
-161.972 -31.3408 206 115 274.25
-152.155 -36.8729 208 116 526.7
-157.064 -28.3716 210 117 151
-147.247 -39.8421 210 117 115.6
-152.155 -31.3408 210 117 574.75
-142.339 -31.3408 212 118 600.1
-142.339 -36.8729 214 119 190.35
-139.885 -26.9547 214 119 133.05
-134.976 -32.5545 214 119 94.6
-147.247 -28.3716 214 119 365.35
-137.431 -28.3038 216 120 180.45
-137.431 -31.2053 216 120 163.45
-132.522 -28.3038 216 120 196.7
-134.976 -26.9547 216 120 168.35
-134.976 -24.0532 218 121 96.2
-130.068 -24.0532 218 121 118.75
-132.522 -31.2053 218 121 123.05
-130.068 -32.5545 218 121 68.85
-130.068 -26.9547 218 121 171.35
-122.706 -28.3038 220 122 84.5
-125.16 -24.0532 220 122 143.45
-127.614 -22.704 220 122 106.65
-127.614 -28.3038 220 122 144.85
-127.614 -31.2053 220 122 74.1
-132.522 -22.704 220 122 76.35
-125.16 -26.9547 222 123 149.2
-120.252 -24.0532 222 123 162.75
-122.706 -22.704 222 123 126.7
-120.252 -26.9547 222 123 117.1
-115.344 -18.4534 224 124 75.1
-117.798 -19.8025 226 125 100.9
-117.798 -28.3038 226 125 73.65
-117.798 -22.704 226 125 144.8
-110.435 -18.4534 226 125 108.7
-112.889 -22.704 228 126 136.55
-112.889 -19.8025 228 126 115.55
-115.344 -26.9547 228 126 76.6
-115.344 -24.0532 228 126 129
-107.981 -19.8025 228 126 126.8
-110.435 -24.0532 230 127 96.55
-105.527 -15.5519 230 127 73.6
-103.073 -22.704 230 127 82.75
-105.527 -24.0532 230 127 64.8
-107.981 -22.704 232 128 111.4
-105.527 -18.4534 232 128 143.55
-103.073 -19.8025 232 128 138.3
-100.619 -18.4534 234 129 132.9
-100.619 -15.5519 234 129 104.35
-98.1647 -14.2027 234 129 93.15
-95.7106 -18.4534 234 129 116.55
-98.1647 -19.8025 234 129 113.9
-90.8024 -15.5519 236 130 127.45
-90.8024 -18.4534 236 130 87.5
-93.2565 -19.8025 236 130 78.45
-95.7106 -15.5519 238 131 123.6
-93.2565 -14.2027 238 131 109.45
-88.3482 -11.3012 240 132 85.6
-88.3482 -14.2027 240 132 120.2
-85.8941 -15.5519 240 132 114.6
-85.8941 -18.4534 240 132 68.25
-83.44 -14.2027 242 133 123.85
-80.9859 -15.5519 242 133 112.15
-78.5318 -14.2027 242 133 134.2
-76.0777 -9.95207 244 134 133.25
-78.5318 -11.3012 244 134 160.3
-73.6235 -5.70141 244 134 78
-76.0777 -7.05056 244 134 79.45
-76.0777 -15.5519 244 134 85.4
-80.9859 -7.05056 244 134 60.2
-73.6235 -11.3012 244 134 143.95
-73.6235 -14.2027 244 134 104.6
-80.9859 -9.95207 246 135 108.35
-68.7153 -11.3012 246 135 138.1
-68.7153 -14.2027 248 136 62.05
-71.1694 -9.95207 248 136 162.95
-71.1694 -7.05056 248 136 137.15
-63.8071 -11.3012 250 137 100.8
-66.2612 -9.95207 250 137 136.85
-68.7153 -5.70141 250 137 112.9
-66.2612 -7.05056 250 137 145.15
-63.8071 -2.7999 252 138 74.55
-56.4447 -9.95207 252 138 78.8
-61.353 -7.05056 252 138 170.95
